object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
Bruck 72,13.3625,-72.68916,7.5,31622776.6016838,0.0,0.0,0.099,MC0094,C,0.9,0.7,2.0,2.0,GGK10.CVH+06,
Bruck 74,13.49375,-72.200554,7.8,63095734.4480193,0.0,0.0,0.0834,MC0094,C,1.0,0.75,2.0,2.0,GGK10,
Bruck 78,13.690833,-72.125275,7.4,25118864.3150958,0.0,0.0,0.0791,MC0094,C,1.1,0.8,1.0,1.0,GGK10,
Bruck 79,13.697917,-72.465836,7.47,29512092.2666638,0.0,0.0,0.089,MC0094,C,0.8,0.6,0.0,0.0,GGK10.CVH+06.PU99,
Bruck 80,13.696667,-73.22305,8.53,338844156.139202,0.0,0.0,0.0831,MC0115,C,0.8,0.65,1.0,1.0,GGK10.CVH+06.PU99,
Bruck 81,13.872083,-71.88556,7.8,63095734.4480193,0.0,0.0,0.0842,MC0094,C,0.75,0.65,0.0,0.0,GGK10,
Bruck 82,13.90125,-71.9825,8.0,100.000.000.00,0.0,0.0,0.0814,MC0094,C,0.65,0.55,0.0,0.0,GGK10,
Bruck 83,13.876667,-73.07222,8.6,398107170.553497,0.0,0.0,0.0806,MC0115,C,0.55,0.55,2.0,0.0,CVH+06,
Bruck 87,14.026667,-73.776665,0.0,0.00,0.0,0.0,0.0801,MC0115,C,0.5,0.5,0.0,0.0,,
[RZ2005] 17,9.31625,-72.96222,0.0,0.00,0.0,0.0,0.0811,MC0093,C,0.45,0.45,3.0,3.0,,
[RZ2005] 17,9.31625,-72.96222,0.0,0.00,0.0,0.0,0.0811,MC0114,C,0.45,0.45,1.0,0.0,,
Bruck 92,14.547917,-72.00166,7.3,19952623.1496888,0.0,0.0,0.077,MC0094,C,0.65,0.55,0.0,0.0,GGK10,
Bruck 96,14.807083,-72.60833,8.3,199526231.496888,0.0,0.0,0.1166,MC0094,C,1.0,0.9,0.0,0.0,GGK10.CVH+06.PU99,
NoName_6,21.30375,-73.25833,0.0,0.00,0.0,0.0,0.0996,MC0116,C,0.35,0.35,3.0,3.0,,
NoName_7,21.30375,-73.25833,0.0,0.00,0.0,0.0,0.0996,MC0117,C,0.35,0.35,0.0,0.0,,
[BS95] 10,9.39125,-73.02472,9.0,1.000.000.000.00,0.0,0.0,0.082,MC0114,C,0.65,0.65,1.0,1.0,CVH+06,
[BS95] 102,15.311667,-73.795,0.0,0.00,0.0,0.0,0.0818,MC0115,C,0.5,0.35,0.0,0.0,,
[BS95] 116,16.029167,-71.325836,0.0,0.00,0.0,0.0,0.0614,MC0072,C,1.2,1.2,2.0,1.0,,
[BS95] 12,9.772917,-73.936386,9.0,1.000.000.000.00,0.0,0.0,0.086,MC0114,C,0.35,0.35,2.0,4.0,CVH+06,
[BS95] 12,9.772917,-73.936386,9.0,1.000.000.000.00,0.0,0.0,0.086,MC0134,C,0.35,0.35,3.0,3.0,CVH+06,
[BS95] 122,16.079166,-73.17528,0.0,0.00,0.0,0.0,0.0907,MC0115,C,0.35,0.35,1.0,1.0,,
[BS95] 126,16.1975,-71.541664,8.26,181970085.860998,0.0,0.0,0.0698,MC0072,C,0.6,0.6,2.0,2.0,PCG+15   8.26,
[BS95] 128,16.394583,-73.48778,8.25,177827941.003892,0.0,0.0,0.0937,MC0115,C,1.1,1.1,1.0,1.0,GGK10,
[BS95] 128,16.394583,-73.48778,8.25,177827941.003892,0.0,0.0,0.0937,MC0116,C,1.1,1.1,1.0,1.0,GGK10,
[BS95] 131,16.4975,-72.34055,8.1,125892541.179417,0.0,0.0,0.0811,MC0095,C,0.55,0.5,0.0,0.0,CVH+06.RZ05,
